# AV Training Trials
# Session started: 2026-06-11T21:47:08.6096810-04:00
# Unity: 6000.2.8f1
# Device: Oculus Quest 2 / Android OS 14 / API-34 (UP1A.231005.007.A1/52175280031200150)
# Scene: AVTrainingSession1Pilot
timestamp_ms,session_index,block_index,trial_index,eccentricity_deg,hemifield,contrast_logcs,stimulus_onset_ms,audio_onset_ms,response_onset_ms,rt_ms,hit,av_delta_ms,trial_type,is_control_trial,counts_for_rehab_dose,horizontal_angle_deg,vertical_angle_deg
154813,1,1,55,-5.00,left,2.850,154410,154410,154813,403,1,0.00,rehab,0,1,-5.00,0.00
157534,1,1,56,-5.00,left,2.850,157062,157062,157534,472,1,0.00,rehab,0,1,-5.00,0.00
160297,1,1,57,-5.00,left,3.000,159839,159839,160297,458,1,0.00,rehab,0,1,-5.00,0.00
163213,1,1,58,-5.00,left,3.000,162797,162797,163213,417,1,0.00,rehab,0,1,-5.00,0.00
165948,1,1,59,-5.00,left,3.150,165490,165490,165948,458,1,0.00,rehab,0,1,-5.00,0.00
168656,1,1,60,-5.00,left,3.150,168142,168142,168656,514,1,0.00,rehab,0,1,-5.00,0.00
170586,1,1,61,-5.00,left,3.300,170114,170114,170586,472,1,0.00,rehab,0,1,-5.00,0.00
173543,1,1,62,-5.00,left,3.300,173002,173002,173543,542,1,0.00,rehab,0,1,-5.00,0.00
176348,1,1,63,-5.00,left,3.450,175890,175890,176348,458,1,0.00,rehab,0,1,-5.00,0.00
179014,1,1,64,-5.00,left,3.450,178472,178472,179014,542,1,0.00,rehab,0,1,-5.00,0.00
181471,1,1,65,-5.00,left,3.600,180958,180958,181471,514,1,0.00,rehab,0,1,-5.00,0.00
183873,1,1,66,-5.00,left,3.600,183457,183457,183873,417,1,0.00,rehab,0,1,-5.00,0.00
186609,1,1,67,-5.00,left,3.750,186164,186164,186609,444,1,0.00,rehab,0,1,-5.00,0.00
189038,1,1,68,5.00,right,3.750,188594,188594,189038,444,1,0.00,right_control,1,0,5.00,0.00
192815,1,1,69,-5.00,left,3.750,191302,191302,-1,-1,0,0.00,rehab,0,1,-5.00,0.00
194967,1,1,70,-5.00,left,3.600,194509,194509,194967,458,1,0.00,rehab,0,1,-5.00,0.00
197675,1,1,71,-5.00,left,3.600,197230,197230,197675,444,1,0.00,rehab,0,1,-5.00,0.00
200118,1,1,72,-5.00,left,3.750,199688,199688,200118,430,1,0.00,rehab,0,1,-5.00,0.00
201951,1,1,73,-5.00,left,3.750,201354,201354,201951,597,1,0.00,rehab,0,1,-5.00,0.00
204506,1,1,74,-5.00,left,3.900,204048,204048,204506,458,1,0.00,rehab,0,1,-5.00,0.00
206880,1,1,75,8.00,right,3.900,206491,206491,206880,389,1,0.00,right_control,1,0,8.00,0.00
209449,1,1,76,-5.00,left,3.900,208477,208477,209449,972,1,0.00,rehab,0,1,-5.00,0.00
211809,1,1,77,-5.00,left,4.050,211226,211226,211809,583,1,0.00,rehab,0,1,-5.00,0.00
214711,1,1,78,-5.00,left,4.050,214281,214281,214711,430,1,0.00,rehab,0,1,-5.00,0.00
217405,1,1,79,-5.00,left,4.200,216933,216933,217405,472,1,0.00,rehab,0,1,-5.00,0.00
219515,1,1,80,-5.00,left,4.200,218987,218987,219515,528,1,0.00,rehab,0,1,-5.00,0.00
222403,1,1,81,-5.00,left,4.350,221945,221945,222403,458,1,0.00,rehab,0,1,-5.00,0.00
224208,1,1,82,-5.00,left,4.350,223750,223750,224208,458,1,0.00,rehab,0,1,-5.00,0.00
226110,1,1,83,-5.00,left,4.500,225416,225416,226110,694,1,0.00,rehab,0,1,-5.00,0.00
228790,1,1,84,-5.00,left,4.500,228137,228137,228790,653,1,0.00,rehab,0,1,-5.00,0.00
231081,1,1,85,5.00,right,4.650,230470,230470,231081,611,1,0.00,right_control,1,0,5.00,0.00
234316,1,1,86,-5.00,left,4.650,232803,232803,-1,-1,0,0.00,rehab,0,1,-5.00,0.00
236204,1,1,87,-5.00,left,4.500,235677,235677,236204,528,1,0.00,rehab,0,1,-5.00,0.00
238134,1,1,88,-5.00,left,4.500,237551,237551,238134,583,1,0.00,rehab,0,1,-5.00,0.00
240259,1,1,89,-5.00,left,4.650,239773,239773,240259,486,1,0.00,rehab,0,1,-5.00,0.00
242189,1,1,90,-5.00,left,4.650,241467,241467,242189,722,1,0.00,rehab,0,1,-5.00,0.00
