# AV Training Trials
# Session started: 2026-05-31T08:55:37.3987800-04:00
# Unity: 6000.2.8f1
# Device: Oculus Quest 2 / Android OS 14 / API-34 (UP1A.231005.007.A1/52175280028600150)
# Scene: AVTrainingSession1Pilot
timestamp_ms,session_index,block_index,trial_index,eccentricity_deg,hemifield,contrast_logcs,stimulus_onset_ms,audio_onset_ms,response_onset_ms,rt_ms,hit,av_delta_ms,trial_type,is_control_trial,counts_for_rehab_dose
200052,1,1,66,-8.00,left,0.000,198548,198548,-1,-1,0,0.00,rehab,0,1
203087,1,1,67,-5.00,left,0.000,201584,201584,-1,-1,0,0.00,rehab,0,1
205399,1,1,68,8.00,right,0.000,205009,205009,205399,390,1,0.00,right_control,1,0
207376,1,1,69,-5.00,left,0.000,206944,206944,207376,432,1,0.00,rehab,0,1
210745,1,1,70,-8.00,left,0.000,209242,209242,-1,-1,0,0.00,rehab,0,1
214254,1,1,71,-8.00,left,0.000,212750,212750,-1,-1,0,0.00,rehab,0,1
216189,1,1,72,8.00,right,0.000,215827,215827,216189,362,1,0.00,right_control,1,0
219085,1,1,73,-8.00,left,0.000,217582,217582,-1,-1,0,0.00,rehab,0,1
221355,1,1,74,-8.00,left,0.000,220380,220380,221355,975,1,0.00,rehab,0,1
224543,1,1,75,-8.00,left,0.000,223040,223040,-1,-1,0,0.00,rehab,0,1
228261,1,1,76,-8.00,left,0.000,226757,226757,-1,-1,0,0.00,rehab,0,1
230990,1,1,77,-5.00,left,0.000,230503,230503,230990,487,1,0.00,rehab,0,1
234318,1,1,78,-8.00,left,0.000,232814,232814,-1,-1,0,0.00,rehab,0,1
236921,1,1,79,-5.00,left,0.000,236545,236545,236921,376,1,0.00,rehab,0,1
239762,1,1,80,-5.00,left,0.000,239400,239400,239762,362,1,0.00,rehab,0,1
241641,1,1,81,-5.00,left,0.150,241071,241071,241641,571,1,0.00,rehab,0,1
245011,1,1,82,-8.00,left,0.150,243507,243507,-1,-1,0,0.00,rehab,0,1
248965,1,1,83,-8.00,left,0.000,247461,247461,-1,-1,0,0.00,rehab,0,1
251625,1,1,84,-5.00,left,0.000,251221,251221,251625,404,1,0.00,rehab,0,1
254117,1,1,85,5.00,right,0.000,253755,253755,254117,362,1,0.00,right_control,1,0
256372,1,1,86,-5.00,left,0.000,255802,255802,256372,571,1,0.00,rehab,0,1
259185,1,1,87,-8.00,left,0.150,257681,257681,-1,-1,0,0.00,rehab,0,1
262109,1,1,88,-5.00,left,0.000,260605,260605,-1,-1,0,0.00,rehab,0,1
265506,1,1,89,-8.00,left,0.000,264002,264002,-1,-1,0,0.00,rehab,0,1
268305,1,1,90,-5.00,left,0.000,267776,267776,268305,529,1,0.00,rehab,0,1
271521,1,1,91,-8.00,left,0.000,270017,270017,-1,-1,0,0.00,rehab,0,1
273986,1,1,92,5.00,right,0.000,273610,273610,273986,376,1,0.00,right_control,1,0
276172,1,1,93,-5.00,left,0.000,275475,275475,276172,696,1,0.00,rehab,0,1
279764,1,1,94,-5.00,left,0.000,278260,278260,-1,-1,0,0.00,rehab,0,1
282061,1,1,95,-5.00,left,0.000,281421,281421,282061,640,1,0.00,rehab,0,1
284066,1,1,96,8.00,right,0.000,283676,283676,284066,390,1,0.00,right_control,1,0
287380,1,1,97,-8.00,left,0.000,285876,285876,-1,-1,0,0.00,rehab,0,1
290819,1,1,98,-8.00,left,0.000,289315,289315,-1,-1,0,0.00,rehab,0,1
294745,1,1,99,-8.00,left,0.000,293242,293242,-1,-1,0,0.00,rehab,0,1
298463,1,1,100,-8.00,left,0.000,296959,296959,-1,-1,0,0.00,rehab,0,1
300774,1,1,101,-5.00,left,0.000,300329,300329,300774,446,1,0.00,rehab,0,1
302863,1,1,102,-5.00,left,0.000,302362,302362,302863,501,1,0.00,rehab,0,1
305703,1,1,103,-5.00,left,0.150,305118,305118,305703,585,1,0.00,rehab,0,1
308627,1,1,104,-5.00,left,0.150,308098,308098,308627,529,1,0.00,rehab,0,1
310395,1,1,105,5.00,right,0.300,309978,309978,310395,418,1,0.00,right_control,1,0
313779,1,1,106,-8.00,left,0.300,312275,312275,-1,-1,0,0.00,rehab,0,1
316772,1,1,107,-5.00,left,0.150,315269,315269,-1,-1,0,0.00,rehab,0,1
319334,1,1,108,-5.00,left,0.000,318944,318944,319334,390,1,0.00,rehab,0,1
321743,1,1,109,-5.00,left,0.000,321214,321214,321743,529,1,0.00,rehab,0,1
323609,1,1,110,-5.00,left,0.150,323038,323038,323609,571,1,0.00,rehab,0,1

# TRIAL SUMMARY
# Total recorded trials: 110
# Rehab-dose trials: 96
# Control trials: 14
