# AV Training Trials
# Session started: 2026-05-31T09:13:38.3786840-04:00
# Unity: 6000.2.8f1
# Device: Oculus Quest 2 / Android OS 14 / API-34 (UP1A.231005.007.A1/52175280028600150)
# Scene: AVTrainingSession1Pilot
timestamp_ms,session_index,block_index,trial_index,eccentricity_deg,hemifield,contrast_logcs,stimulus_onset_ms,audio_onset_ms,response_onset_ms,rt_ms,hit,av_delta_ms,trial_type,is_control_trial,counts_for_rehab_dose
28100,1,1,1,-5.00,left,0.000,27474,27474,28100,627,1,0.00,rehab,0,1
29952,1,1,2,-5.00,left,0.000,29354,29354,29952,599,1,0.00,rehab,0,1
32974,1,1,3,-8.00,left,0.150,31470,31470,-1,-1,0,0.00,rehab,0,1
35174,1,1,4,-5.00,left,0.000,34463,34463,35174,710,1,0.00,rehab,0,1
37958,1,1,5,-5.00,left,0.000,37192,37192,37958,766,1,0.00,rehab,0,1
40367,1,1,6,-5.00,left,0.150,39977,39977,40367,390,1,0.00,rehab,0,1
42483,1,1,7,5.00,right,0.150,42135,42135,42483,348,1,0.00,right_control,1,0
45783,1,1,8,-8.00,left,0.150,44280,44280,-1,-1,0,0.00,rehab,0,1
48457,1,1,9,-5.00,left,0.000,47886,47886,48457,571,1,0.00,rehab,0,1
51186,1,1,10,-8.00,left,0.000,49682,49682,-1,-1,0,0.00,rehab,0,1
52842,1,1,11,-5.00,left,0.000,52439,52439,52842,404,1,0.00,rehab,0,1
54471,1,1,12,8.00,right,0.000,54068,54068,54471,404,1,0.00,right_control,1,0
56992,1,1,13,-5.00,left,0.000,56644,56644,56992,348,1,0.00,rehab,0,1
59038,1,1,14,-5.00,left,0.150,58565,58565,59038,473,1,0.00,rehab,0,1
61767,1,1,15,-5.00,left,0.150,61405,61405,61767,362,1,0.00,rehab,0,1
65401,1,1,16,-8.00,left,0.300,63898,63898,-1,-1,0,0.00,rehab,0,1
68284,1,1,17,-5.00,left,0.150,67894,67894,68284,390,1,0.00,rehab,0,1
70163,1,1,18,-5.00,left,0.150,69759,69759,70163,404,1,0.00,rehab,0,1
72600,1,1,19,-8.00,left,0.300,72210,72210,72600,390,1,0.00,rehab,0,1
74438,1,1,20,-8.00,left,0.300,74104,74104,74438,334,1,0.00,rehab,0,1
76150,1,1,21,-5.00,left,0.450,75733,75733,76150,418,1,0.00,rehab,0,1
79673,1,1,22,-8.00,left,0.450,78169,78169,-1,-1,0,0.00,rehab,0,1
82597,1,1,23,-5.00,left,0.300,81093,81093,-1,-1,0,0.00,rehab,0,1
85618,1,1,24,-8.00,left,0.150,84115,84115,-1,-1,0,0.00,rehab,0,1
